subject,core_number,flake_number,flake_max_thickness
1,20,2,46.93
1,233,1,42.59
2,27,5,41.86
2,28,1,41.06
4,66,21,64.26
6,112,6,55.56
6,60,2,48
8,108,3,27.74
9,129,1,40.07
9,129,2,21.38
9,129,3,29.34
9,129,4,11.66
9,129,5,23.14
9,129,6,10.84
9,129,9,15.43
9,129,10,7.47
9,129,11,27.04
9,129,12,10.08
9,129,13,9.62
9,129,17,11.04
9,129,20,13.31
9,129,22,9.35
9,129,23,11.14
9,154,1,70.69
9,154,2,38.98
9,61,15,49.88
11,103,2,45.68
11,133,1,59.93
11,63,1,35.91
13,104,5,35.08
13,151,3,32.68
13,152,1,67.66
13,181,14,20.43
15,113,3,70.03
16,139,3,44.4
16,171,6,38.57
17,138,2,60.69
18,183,30,48.47
19,150,1,20.13
19,150,7,38.83
20,165,6,41.58
22,142,2,31.18
22,142,3,51.53
24,17,4,46.92
24,217,5,41.55
24,225,9,50.25
24,229,1,55.58