Subject,Mean N-Back Level,D' Score,Mode N-Back Level,exit questionnaire score,extraversion score,agreeableness score,conscientiousness score,neuroticism score,openess score,hsc score,rpm score,crt score,fitts_mtavg_ms,fitts_perc_error
1,2.933333333,1.796,3,75,3.625,2.777777778,2.888888889,3.75,4.5,45,9,0,810.5,0.0222
2,2.8,1.793,3,77,2.75,3.888888889,3.333333333,4.25,4.6,43,7,2,782.3889,0.0278
3,3.6,1.583,4,79,2.625,3.888888889,4.777777778,3.5,4.3,61,9,1,614,0.0917
4,3.533333333,2.074,4,63,2.375,3.666666667,2.444444444,4.375,3.2,41,7,1,523.4444,0.1694
5,2.8,1.734,3,57,2.25,2.666666667,2.888888889,2.5,3.8,48,7,1,850.3333,0.0639
6,3.333333333,1.937,4,74,,,,,,0,9,3,465.2222,0.1444
7,3.333333333,1.929,4,65,1.375,3.666666667,3,3.375,2.9,45,9,3,635.2222,0.0222
8,2.6,1.601,2,75,4,4.222222222,4.555555556,2.125,3.7,52,8,0,676.8889,0.0917
9,2.533333333,1.77,3,75,3.75,3.555555556,3.555555556,2.875,3.9,48,8,0,649,0.0889
10,2.2,1.6,1,52,2,3.888888889,3.555555556,4.125,3.9,54,6,2,863.5556,0.0194
11,2.8,1.616,3,50,3.75,3.222222222,3.555555556,4.375,4.1,55,5,3,622.2778,0.0472
12,2.533333333,1.932,3,80,1.75,4,3.333333333,2.5,3.8,48,8,3,577.8333,0.0472
13,3.733333333,2.271,4,80,3.125,3.777777778,3.666666667,1.5,3.8,61,6,1,525.2778,0.1306
15,2.266666667,1.68,2,74,3.625,4.333333333,4,2.625,4.4,57,8,2,735.8333,0.0583
16,3.2,2.3,3,56,3,3.222222222,2.777777778,3.75,3,46,9,3,528.5,0.1333
17,2.266666667,1.757,2,86,2.125,3.111111111,4.555555556,2.25,4.5,69,9,0,728.8889,0.0389
18,2.133333333,1.685,2,62,2.5,3.333333333,3.777777778,4.125,3.9,50,4,0,864.7778,0.0417
19,3.2,2.234,4,78,3.75,4,4,3.25,3.8,57,9,2,654.4444,0.0944
20,3.666666667,2.042,5,67,3,3.555555556,4.555555556,2.25,3.2,55,6,2,625.3889,0.0472
21,2.533333333,1.903,3,55,1.625,3.444444444,3.666666667,3.5,3.4,46,5,3,716.3333,0.0333
22,2.666666667,1.747,3,68,1.75,3.333333333,4.111111111,3,4,49,8,2,663.6111,0.075
23,3.466666667,1.834,3,74,3.875,4.222222222,3.222222222,2.875,3.2,36,9,2,713.8333,0.0833
24,3.4,1.867,3,71,1.75,3.888888889,3,3.25,3.5,49,8,3,554.3889,0.0667